SMILES,canonical_smiles,Activity Comment,Protein Target Name
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C(C)=C\C)[C@]2(CO)[C@H](O)[C@H](O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,C/C=C(\C(=O)O[C@H]1[C@H](OC(=O)/C(=C\C)/C)C(C)(C)C[C@@H]2[C@@]1(CO)[C@H](O)[C@H](O)[C@@]1(C2=CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@H]([C@@]1(C)CO)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)C)/C,1,NRF2
CCN(C)C(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]3[C@H](C[C@@H]12)O[C@]1(CC[C@@H](C)CO1)[C@H]3C,CCN(C(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1C[C@H]1[C@@H]2[C@H](C)[C@]2(O1)CC[C@H](CO2)C)C)C,1,NRF2
OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@H](O/C=C/c4ccc(O)c(O)c4)[C@@H]4O[C@@]4(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@@H]3[C@H]2[C@]2(CO)O[C@H]2[C@H]3O/C=C/c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,0,Xanthine dehydrogenase
COc1ccc2c(c1)C(=O)c1c(ccc(CCC(C)=O)c1C)C2=O,COc1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1C)CCC(=O)C,0,Xanthine dehydrogenase
COc1cc(COC/C=C/c2cc(OC)c(OC)c(OC)c2)ccc1O,COc1cc(/C=C/COCc2ccc(c(c2)OC)O)cc(c1OC)OC,0,Xanthine dehydrogenase
Cc1c(CCC(C)O)ccc2c1C(=O)c1ccccc1C2=O,CC(CCc1ccc2c(c1C)C(=O)c1c(C2=O)cccc1)O,0,Xanthine dehydrogenase
COc1ccc2c(c1)C(=O)C1(O)C(=CC3=C(C)CCC3=C1C)C2=O,COc1ccc2c(c1)C(=O)C1(C(=CC3=C(CCC3=C1C)C)C2=O)O,0,Xanthine dehydrogenase
CC1=CCc2c1cc1c(c2C)C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)c2c1cc1C(=CCc1c2C)C,0,Xanthine dehydrogenase
CC(=O)CCc1ccc2c(c1C)C(=O)c1ccccc1C2=O,CC(=O)CCc1ccc2c(c1C)C(=O)c1c(C2=O)cccc1,0,Xanthine dehydrogenase
COc1cc(/C=C/C(=O)O)ccc1O,COc1cc(/C=C/C(=O)O)ccc1O,0,Xanthine dehydrogenase
COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,OC[C@H]1O[C@@H]2[C@@H]([C@H]([C@@H]1O)O)OC(=O)c1c2c(O)c(c(c1)O)OC,0,Xanthine dehydrogenase
CCCCCC(=O)Oc1cc2c(c(OC(C)=O)c1OC)[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC2=O,CCCCCC(=O)Oc1cc2C(=O)O[C@H]3[C@H](c2c(c1OC)OC(=O)C)O[C@@H]([C@H]([C@@H]3OC(=O)C)OC(=O)C)COC(=O)C,0,Xanthine dehydrogenase
COc1c(OC(=O)c2ccccc2)cc2c(c1OC(C)=O)[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC2=O,COc1c(cc2c(c1OC(=O)C)[C@@H]1O[C@H](COC(=O)C)[C@H]([C@@H]([C@H]1OC2=O)OC(=O)C)OC(=O)C)OC(=O)c1ccccc1,0,Xanthine dehydrogenase
CCCCCCCCCC(=O)Oc1cc2c(c(OC(C)=O)c1OC)[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC2=O,CCCCCCCCCC(=O)Oc1cc2C(=O)O[C@H]3[C@H](c2c(c1OC)OC(=O)C)O[C@@H]([C@H]([C@@H]3OC(=O)C)OC(=O)C)COC(=O)C,0,Xanthine dehydrogenase
CCCCCCCCCCCCCC(=O)Oc1cc2c(c(OC(C)=O)c1OC)[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC2=O,CCCCCCCCCCCCCC(=O)Oc1cc2C(=O)O[C@H]3[C@H](c2c(c1OC)OC(=O)C)O[C@@H]([C@H]([C@@H]3OC(=O)C)OC(=O)C)COC(=O)C,0,Xanthine dehydrogenase
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,1,Xanthine dehydrogenase
COc1cc(O)ccc1-c1cc2cc(CCCO)ccc2o1,OCCCc1ccc2c(c1)cc(o2)c1ccc(cc1OC)O,0,Glucocorticoid receptor
C[C@@H]1[C@H](C)[C@@H](c2ccc(O)cc2)O[C@@H]1c1ccc(O)cc1,C[C@@H]1[C@H](O[C@@H]([C@@H]1C)c1ccc(cc1)O)c1ccc(cc1)O,0,Glucocorticoid receptor
C[C@@H]1[C@H](C)[C@@H](c2ccc(O)cc2)O[C@H]1c1ccc(O)cc1,C[C@@H]1[C@H](O[C@H]([C@@H]1C)c1ccc(cc1)O)c1ccc(cc1)O,0,Glucocorticoid receptor
